Year,YearCode,Country me,Country Code,ari,adjsav_eduexp,ado_fert_rate,agedep_work,agedep_young,agrland,brate,gen_eq_rate,gov_debt,fert_rate,c_gdp,grow_gdp,percap_gdp,gini,percap_healthexp,healthexp_gdp,ishare_low20,de_gdp,lifeexp_f,lifeexp_m,lifeexp,mortrate_inf,mortrate_un5,mortrate_un5f,mortrate_un5m,grow_pop,immu_dpt,immu_mea,hiv_fe15up
2010,YR2010,Bolivia,BOL,,5.22169,74.40659,68.73162471,60.81808808,34.12258839,26.482,4,,3.357,11954060130,4.126722747,4252.444494,,108.2405534,3.619350457,,8.777508131,68.537,64.208,66.31970732,35.3,44.9,40.8,48.9,1.619836344,80,79,30.8
2010,YR2010,Bosnia and Herzegovi,BIH,,,15.8756,48.07537285,25.75920094,42.03921569,8.609,4.5,,1.242,12803068421,0.699999999,7290.090045,,452.8535376,6.965994143,,2.285952514,78.445,73.294,75.80668293,6.5,7.5,6.6,8.2,-0.195262665,89,91,
2010,YR2010,Botswa,BWA,,7.61146,47.3862,60.60782245,55.01329341,45.63195878,24.299,,,2.761,12116816309,8.594135556,12988.39142,,382.0207748,3.317922267,,18.92154395,45.924,46.932,46.44029268,43.6,57.7,53.1,62,0.899049579,96,94,55.9
2010,YR2010,Brazil,BRA,,5.49423,72.7076,47.92874276,37.70967821,32.32148303,15.576,,52.20616911,1.838,1.10E+12,7.533615453,10079.28675,,990.2665826,4.235572317,,8.228535058,76.779,69.548,73.07531707,14.5,16.3,14.2,18.2,0.884609443,98,99,31.4
2010,YR2010,Brunei Darussalam,BRN,,2.02524,23.8208,43.37578079,38.12852288,2.163187856,16.788,,,2.051,9849702194,2.598965911,45319.25463,,914.7369492,2.519974391,,5.308065628,79.956,76.115,77.98865854,6.8,8.2,7.4,8.9,1.552041358,95,94,
2010,YR2010,Bulgaria,BGR,,4.12315,38.3686,46.31667594,19.48577511,46.53647752,10,,14.93887326,1.49,32991740544,0.4,11505.79644,,480.1895778,4.221257049,,2.793715946,77.2,70,73.51219512,11.3,13,11.6,14.3,-0.672541561,94,97,20.3
2010,YR2010,Burki Faso,BFA,56,3.37766,121.1052,94.08893877,89.27885589,44.09722222,42.524,3.5,,5.869,7105465610,7.939698739,1204.503648,,39.09643151,4.076182783,,7.198596767,55.584,54.457,55.0067561,70.1,114.6,109.2,119.7,2.907424319,91,92,59.1
2010,YR2010,Burundi,BDI,54.7,8.72082,31.5648,86.77208339,82.05394435,88.39563863,45.193,4,,6.304,1391766915,3.785902542,475.3842531,,22.57734631,3.182245696,,12.30329598,54.366,50.965,52.62402439,71.1,111.8,104.7,118.6,3.371194115,96,92,59.9
2010,YR2010,Cabo Verde,CPV,,4.94593,74.98441,60.17482644,50.98975829,18.61042184,20.93,4.5,,2.427,1532903134,3.673308328,4018.994537,,144.7392528,3.654829016,,-1.634001733,77.869,70.036,73.85697561,20.1,23.7,21,26.3,0.387747515,99,97,53.2
2010,YR2010,Cambodia,KHM,64.2,1.63446,45.3874,58.39410458,50.42671617,32.03602991,26.225,4,,2.966,8693197236,5.963078575,1937.074928,,47.9756782,1.299434091,,3.12059287,73.379,68.038,70.64336585,37.3,43.8,38.8,48.5,1.54834755,92,93,55.3
2010,YR2010,Cameroon,CMR,,3.10516,121.7918,87.47007803,81.38530077,20.30843435,38.624,3,,5.017,19209829593,3.343429598,1957.219013,,61.34140038,1.521120212,,3,54.752,52.688,53.69482927,65,102.6,96,109,2.55560127,84,79,57.9
2010,YR2010,Cada,CAN,,4.47921,14.2042,44.14943616,23.7440538,6.957555443,11.1,,52.68409364,1.6269,1.20E+12,3.214948408,35222.5043,,5257.409923,8.083433567,,2.944408564,83.162,78.733,80.8934878,4.9,5.6,5.1,6,1.177940253,95,97,19.7
2010,YR2010,Cayman Islands,CYM,,,,,,11.25,15,,,,,,,,,,,,,,,,,,,2.2481454,,,
2010,YR2010,Central African Republic,CAF,29.8,1.14471,101.6496,80.31283584,73.29120183,8.154354875,35.056,2.5,,4.626,1895403785,6.635415455,871.4454465,,17.15777614,1.942080043,,-1.423878463,49.916,46.368,48.09873171,95.4,137.8,131,144.3,1.942316597,45,53,58.8
2010,YR2010,Chad,TCD,26.2,2.25891,163.9606,105.5256598,100.3749018,39.3360864,47.481,2.5,,6.596,8425171572,13.55010086,1822.868995,,30.64455166,1.006072763,,6.391195051,50.595,48.984,49.76985366,93.1,159,151.1,166.2,3.026858444,39,46,58.4
2010,YR2010,Channel Islands,CHI,,,8.805599,45.13907121,22.18148042,47.89473684,9.735,,,1.436,,,,,,,,,81.974,77.791,79.8314878,,,,,0.599216463,,,
2010,YR2010,Chile,CHL,,4.56018,56.579,45.60751802,32.2378091,21.1732649,14.329,,,1.858,1.48E+11,5.762972706,14443.37713,,932.5717268,3.480276762,,8.829351424,82.055,76.189,79.05046341,7.9,9.2,8.3,10,0.931579125,92,93,13
2010,YR2010,Chi,CHN,,1.80661,8.4818,36.04076656,24.68134906,55.6206886,11.9,,,1.65,3.84E+12,10.4,6819.319174,,218.7801814,2.702666017,,6.684109668,76.207,73.626,74.88502439,13.7,16,14.8,17,0.482959689,99,99,28.4
2010,YR2010,Colombia,COL,64.2,3.90466,70.8418,52.38543379,43.82746098,38.30824696,19.779,,62.61871032,2.376,1.83E+11,3.971800705,8449.586448,55.91,407.2042206,4.870184561,3,3.856258895,77.14,69.775,73.36768293,16.1,18.7,16.4,20.9,1.392446101,88,88,30.2
2010,YR2010,Comoros,COM,,4.188552784,53.8806,82.20449251,76.89824902,83.28855454,37.061,3,,4.919,413107576,2.051229554,1057.709871,,39.06400434,3.032413742,,4.352133106,61.593,58.88,60.20341463,60.9,82.6,76.7,88.2,2.517814139,74,72,29.1
2010,YR2010,"Congo, Dem. Rep.",ZAR,40.3,2.42834,133.9808,93.40893925,87.93209793,11.36278424,44.017,2.5,,6.251,9438751813,7.174203174,335.6794655,,14.85547976,2.120425854,,22.40742272,50.744,47.315,48.98768293,104.5,155.1,146,163.7,2.779638721,60,74,59
2010,YR2010,"Congo, Rep.",COG,,2.46641,128.2182,83.93223978,77.66661369,30.92240117,38.662,3,,5.072,7852666838,8.751655799,3748.223075,,68.10026466,1.386578971,,20.72202923,58.589,55.885,57.20402439,65.5,101.7,96,107.1,2.876009218,90,90,58
2010,YR2010,Costa Rica,CRI,,6.2387,62.7296,45.8058181,36.32836234,36.81942812,15.704,,,1.847,25017792423,4.954320527,10455.74031,,802.1360128,7.1084405,,7.960913667,81.665,77.008,79.27970732,9,10.3,9.2,11.3,1.472579678,88,83,43.9
2010,YR2010,Cote d'Ivoire,CIV,,4.32469,128.3752,81.55352475,75.91207885,64.46540881,36.533,2.5,,4.91,18217368879,2.394382751,1761.359789,,70.81381365,1.51547282,,1.900142458,50.482,48.907,49.67529268,79.8,113.9,105,122.3,1.997228019,85,70,56.7
2010,YR2010,Croatia,HRV,,4.12972,13.0756,48.88926151,22.77590042,23.83488206,9.8,,,1.46,46279296510,-1.40514702,15917.32464,,1050.689577,6.620080909,,-0.076249335,79.6,73.5,76.47560976,4.4,5.2,4.8,5.7,-0.253199032,97,96,15.5
2010,YR2010,Cuba,CUB,,12.93185,43.9374,42.34932917,24.64754499,61.72491545,9.908,,,1.467,55436887631,2.388246462,,,583.371882,9.70383129,,1.206742149,80.827,76.709,78.71778049,4.7,6,5.3,6.6,-0.062541555,96,99,15.6
2010,YR2010,Curacao,CUW,,,29.4108,49.30084714,29.61025523,,14.1,,,2.2,,,,,,,,,,,,,,,,1.268231839,,,
