"","adjsav_eduexp","ado_fert_rate","agedep_work","agedep_young","agrland","brate","fert_rate","c_gdp","grow_gdp","percap_gdp","percap_healthexp","healthexp_gdp","de_gdp","lifeexp_f","lifeexp_m","mortrate_un5f","mortrate_un5m","grow_pop","immu_dpt","immu_mea","hiv_fe15up","CO2emission","cluster","cluster_k3"
"SYR",2.6,42.78,65.19,59.03,75.74,24.96,3.08,36613976515,3.2,4501.74,96.59,1.57,6.26,77.53,72.33,13.6,16.7,2.35,80,82,34.824,2.79,2,"2"
"TJK",3.2,43.61,64.52,59.08,34.61,32.55,3.78,3181403840,6.5,1746.42,49.07,1.59,12.46,70.38,63.78,56,68.4,2.39,93,94,33.3,0.32,2,"2"
"TZA",2.39,125.8,92.14,86.15,42.11,40.64,5.43,19720449299,7.04,1288.5,36.76,2.82,6.93,60.31,58.11,57.7,65.3,3.01,91,92,58,0.16,1,"1"
"THA",4.06,40.84,39.28,26.93,41.22,11.03,1.44,2.1e+11,7.81,7987.18,179.15,2.91,3.66,77.25,70.54,12.2,16,0.19,99,98,43.6,3.51,2,"2"
"TMP",3.27,57.65,101.67,95.44,24.55,36.44,5.58,732847298.6,9.49,1367.26,44.68,4.29,3.22,67.5,64.46,56.4,66.6,2.88,72,66,46.884,0.3463,1,"1"
"TGO",4.44,90.95,81.2,76.23,68.03,37.49,4.79,2477350119,4,862.04,39.11,3.42,1.18,56.27,54.7,93.8,107.8,2.6,86,68,58.5,0.41,1,"1"
"TON",2.96,19.79,76.49,66.14,43.06,27.18,3.91,268854243,3.33,4154.85,172.22,4.08,3.75,75.16,69.35,12.1,15.1,0.52,99,99,39.016,1.15,2,"2"
"TTO",4.01,36.12,40.87,29.19,10.53,15.13,1.8,18988955441,0.21,23447.77,976.54,3.32,7.95,73.26,66.11,19.6,24.1,0.42,90,92,52.2,17.03,2,"3"
"TUN",5.97,5.04,43.76,33.77,64.61,18.6,2.13,40161154597,3,8494.59,241.36,3.1,4.74,76.6,72.7,16,19,1.04,98,97,36,2.58,2,"2"
"TUR",2.64,34.29,50.95,40.31,50.69,17.75,2.1,5.65e+11,9.16,12671.11,668.37,4.99,5.68,77.77,70.82,14.2,17.4,1.25,97,97,30.3,4.11,2,"2"
"UGA",2.96,135.96,105.36,100.34,70.38,44.64,6.16,13362034649,5.86,1129.8,44.01,2.12,9.55,58.2,56.44,71.2,85.1,3.36,80,73,57.3,0.12,1,"1"
"GBR",5.14,25.79,51.86,26.67,71.19,13,1.98,2.36e+12,1.66,32765.53,3494.73,7.99,3.1,82.4,78.5,4.7,5.7,0.74,94,89,30.4,7.68,2,"3"
"URY",2.3,59.43,57.18,35.38,82.06,14.78,2.08,22990234866,8.95,12569.08,947.7,5.29,4.84,80.2,73.2,8.1,9.9,0.34,95,95,19.7,1.87,2,"2"
"VUT",5.19,45.96,72.86,66.03,15.34,27.45,3.5,503575271.4,1.63,4004.83,149.22,4.68,2.61,72.86,68.92,17,21,2.34,68,52,41.792,0.55,1,"1"
"VNM",2.81,30.11,42.92,33.57,34.73,16.43,1.82,78282167938,6.42,3030.3,82.79,2.54,12.07,80.17,70.68,20.2,26.4,1.05,93,98,28.6,1.7,2,"2"
"YEM",4.12,50.77,80.77,75.84,44.66,32.29,4.5,20710400137,7.7,2507.41,79.94,1.17,24.16,63.89,61.23,59.8,68.7,2.37,87,73,41.8,1.04,1,"1"
"ZMB",1.32,131.13,98.28,93.02,31.93,43.22,5.81,9799629000,7.62,1370.47,73.84,3.63,11.69,55.76,53.35,94.2,106.5,3.01,83,96,51.2,0.19,1,"1"
"ZWE",2.54,65.2,82.54,75.27,42.19,32.17,3.72,5120294858,9.62,2429.3643,74.1844,2.465,10.56,53.82,53.38,89.9,103.7,1.45,89,90,59.1,0.77,1,"1"
