countries,adjsav_eduexp,ado_fert_rate,agedep_work,agedep_young,agrland,brate,fert_rate,c_gdp,grow_gdp,percap_gdp,percap_healthexp,healthexp_gdp,de_gdp,lifeexp_f,lifeexp_m,lifeexp,mortrate_inf,mortrate_un5,mortrate_un5f,mortrate_un5m,grow_pop,immu_dpt,immu_mea,hiv_fe15up,CO2emission
MKD,4.9,19.89,41.01,24.58,44.37,10.94,1.45,7140170814,2.89,9104.28,299.5,4.08,2.72,77.05,72.51,74.72,8.7,9.9,9.1,10.6,0.08,95,98,27.06,4.25
MDG,2.66,127.41,86.06,80.77,71.18,35.46,4.65,5804539998,0.53,849.12,15.08,2.08,9.34,64.85,61.92,63.35,43.6,62.9,58.6,67.2,2.81,85,73,46.5,0.09
MWI,4.39,149.77,95.64,89.62,59.19,40.87,5.64,3290262502,-9.53,657.73,28.47,6.23,26.45,53.52,53.41,53.47,52.6,82.9,77.8,87.8,2.98,93,93,58,0.07
MYS,4.15,8.54,48.2,41.03,23.95,17.61,2,1.79E+11,7.43,13801.36,367.96,2.44,4.12,76.89,72.22,74.5,7.2,8.4,7.6,9.3,1.73,94,96,13.7,7.06
MDV,5.04,6.89,53.81,46.1,23.33,22.24,2.34,1518834121,7.06,7338.73,408.85,3.79,0.44,77.86,75.76,76.79,11.2,13,11.6,14.4,1.87,96,97,29.6,2.62
MLI,3.89,177.7,98.8,93.03,33.62,47.75,6.84,6971653981,5.82,1095.12,39.48,2.82,4.18,53.59,53.94,53.77,83.4,137.8,131.6,143.8,3.1,76,63,59.1,0.18
MLT,5.62,18.41,43.09,22.36,32.19,9.6,1.38,6652772997,2.71,22696.8,1706.47,5.45,2.93,83.1,78.9,80.95,5.9,6.9,6.3,7.4,0.48,76,73,29.6,6.22
MRT,3.83,76.98,77.61,72.03,38.53,35.21,4.84,2835163755,5.08,2110.19,58.91,4.03,21.37,62.57,59.55,61.02,66.8,89.1,80.6,97.2,2.62,64,67,58.5,0.59
MUS,3.08,31.8,40.63,29.76,44.83,11.7,1.47,7826157632,4.11,12278.63,464.77,2.71,1.77,76.65,69.46,72.97,12.9,14.9,13.2,16.6,0.46,99,99,27.4,2.93
MEX,5.16,65.77,56.32,46.96,52.98,19.54,2.28,9.57E+11,5.07,12412.48,603.36,3.1,4.11,79.16,74.34,76.69,14.7,17.1,15.4,18.8,1.25,95,95,22.6,4.11
