countries,adjsav_eduexp,ado_fert_rate,agedep_work,agedep_young,agrland,brate,fert_rate,c_gdp,grow_gdp,percap_gdp,percap_healthexp,healthexp_gdp,de_gdp,lifeexp_f,lifeexp_m,lifeexp,mortrate_inf,mortrate_un5,mortrate_un5f,mortrate_un5m,grow_pop,immu_dpt,immu_mea,hiv_fe15up,CO2emission
RUS,3.54,27.15,38.93,20.73,13.05,12.5,1.54,9.09E+11,4.5,14181.58,670.36,3.8,14.19,74.9,63,68.8,10,11.7,10.3,13,0.34,97,98,35.3,11.08
RWA,4.22,37.27,88.6,84.29,77.83,36.91,4.84,3818993880,7.22,1055.87,55.22,5.72,2.48,63.74,60.76,62.21,43.7,63.8,59.5,68,2.87,97,95,58.4,0.06
WSM,4.42,29.62,76.45,67.54,12.37,27.93,4.34,425313172,0.4,3829.72,204.07,5.5,1.42,75.64,69.33,72.41,15.5,18.1,16.4,19.8,0.71,87,61,39.43,1.02
STP,3.38,69.62,82.47,75.87,50.52,36.23,4.29,144835070,4.51,1543.66,94.13,2.65,11.74,67.84,63.96,65.85,40.1,56.9,52.3,61.3,2.84,98,92,52.5,0.55
SAU,7.19,10.75,50.82,46.34,80.64,20.77,2.83,4.36E+11,7.43,24864.35,658.95,2.65,14.28,76.94,73.3,75.08,8.5,9.9,9.1,10.7,1.71,98,98,31.53,16.02
SEN,5.22,95.88,87.72,81.91,49.37,38.56,5.05,10366034228,4.27,1677.62,59.58,3.28,1.54,64.3,61.46,62.84,47.3,66.8,61.7,71.7,2.85,89,82,65.9,0.55
SRB,5,17.85,44.11,24.31,57.74,9.4,1.4,27879217077,1.01,9602.43,546.03,6.41,4.89,76.6,71.4,73.94,6.6,7.6,6.8,8.4,-0.4,91,95,22.7,6.4
SYC,4.63,57.72,42.66,31.83,6.52,16.8,2.1,1138398917,5.95,20640.01,368.14,3.04,-4.2,77.4,69.7,73.46,11.7,13.6,12.4,14.7,2.79,99,99,35.99,4.9
SLE,3.41,108,80.91,76.26,47.96,38.28,4.94,2130751273,5.44,996.55,67.73,3.19,16.93,44.99,44.7,44.84,122.7,192.6,183.5,201.3,1.94,84,80,59.3,0.09
SGP,3.02,6.01,35.78,23.55,1.06,9.3,1.15,1.69E+11,14.78,52313.91,2004.79,1.41,0.21,84,79.2,81.54,2.2,2.8,2.6,3.1,1.77,97,95,29.4,8.35
SVK,3.89,17.79,37.81,20.85,40.44,11.1,1.4,76899962691,4.18,20120.69,1445.14,5.81,0.49,78.8,71.6,75.11,6.8,8.1,7.3,8.9,0.21,99,98,9.1,6.58
SVN,5.39,2.28,44.24,20.21,24,10.9,1.57,39034227961,1.38,25052.86,2064.49,6.53,-1.07,82.7,76.3,79.42,2.8,3.4,3.1,3.7,0.44,96,95,8.9,7.72
SLB,3.83,67.05,78.72,72.84,3.25,32.7,4.24,555854394,7,2484.11,93.44,6.95,5.61,68.45,65.75,67.07,27.2,32.8,29.2,36.2,2.21,79,68,38.57,0.64
ZAF,5.43,54.18,53.7,45.67,79.87,21.54,2.47,2.90E+11,3.09,9516.45,630.93,4.05,7.2,56.14,52.72,54.39,35,52.9,48.2,57.4,1.35,66,74,58.9,8.3
SSD,3.2,83.31,86.02,79.68,47.38,37.35,5.19,69013454514,4.24,2539.24,31.9,0.68,22.58,54.49,52.48,53.47,71.2,111.9,106,117.4,4.32,75.79,72.71,57.6,0
ESP,4.57,11.47,47.13,21.96,55.22,10.5,1.38,1.18E+12,-0.2,26908.04,2895.93,7.12,0.08,84.7,78.7,81.63,4,4.7,4.3,5,0.35,97,95,23,5.87
LKA,1.74,19.07,49.01,37.43,41.78,18.48,2.34,33253082140,8.02,4600.87,82.04,1.57,7.3,76.92,70.75,73.76,8.9,10.3,9.4,11.2,0.99,99,99,34.9,0.65
LCA,4.47,58.35,50.89,38.11,18.03,16.34,1.98,1067166275,0.4,10031.99,527.95,4.25,2.56,77.14,71.81,74.41,15.5,18.2,16.2,20.2,1.25,97,95,34.29,2.3
VCT,4.54,56.28,49.8,39.71,25.64,17.1,2.07,591892929,-2.79,9452.86,292.91,3.9,3.24,74.33,70.14,72.18,21.4,23.9,21.7,26,0.06,99,99,33.37,2.31
SDN,0.87,93.03,82.47,76.73,57.34,34.85,4.64,35822262376,3.48,1777.48,110.78,1.99,18.83,63.27,59.77,61.48,52,77.9,71.7,83.6,2.27,90,90,50.6,0.46
SUR,4.89,36.94,54.04,44.11,0.5,18.45,2.35,2188868338,4.22,7113.61,472.05,2.94,8.16,73.68,67.15,70.34,19.8,22.2,19.4,24.8,0.92,96,90,51.7,3.29
SWZ,6.93,78.39,72.95,67.18,71.05,30.82,3.56,2917342648,1.87,4721.84,242.68,5.54,-0.97,47.92,48.76,48.35,61.2,91.9,86.6,96.9,1.65,89,94,58.4,0.95
SWE,6.22,6.32,53.16,25.28,7.52,12.3,1.98,4.02E+11,6.56,34125.35,4708.39,7.74,0.85,83.5,79.5,81.45,2.4,3,2.8,3.3,0.85,98,97,30,5.13
CHE,5.3,2.94,46.98,22.13,38.09,10.3,1.52,4.28E+11,2.95,39041.58,7699.16,7.1,0.34,84.5,80.1,82.25,3.8,4.5,4.1,4.9,1.04,96,92,30.1,5.78
SYR,2.6,42.78,65.19,59.03,75.74,24.96,3.08,36613976515,3.2,4501.74,96.59,1.57,6.26,77.53,72.33,74.87,13.1,15.2,13.6,16.7,2.35,80,82,30.19,2.79
TJK,3.2,43.61,64.52,59.08,34.61,32.55,3.78,3181403840,6.5,1746.42,49.07,1.59,12.46,70.38,63.78,67,52.1,62.5,56,68.4,2.39,93,94,33.3,0.32
TZA,2.39,125.8,92.14,86.15,42.11,40.64,5.43,19720449299,7.04,1288.5,36.76,2.82,6.93,60.31,58.11,59.18,41.5,61.6,57.7,65.3,3.01,91,92,58,0.16
THA,4.06,40.84,39.28,26.93,41.22,11.03,1.44,2.10E+11,7.81,7987.18,179.15,2.91,3.66,77.25,70.54,73.81,12.2,14.2,12.2,16,0.19,99,98,43.6,3.51
TMP,3.27,57.65,101.67,95.44,24.55,36.44,5.58,732847299,9.49,1367.26,44.68,4.29,3.22,67.5,64.46,65.94,51.5,61.7,56.4,66.6,2.88,72,66,42.77,0.3447
TGO,4.44,90.95,81.2,76.23,68.03,37.49,4.79,2477350119,4,862.04,39.11,3.42,1.18,56.27,54.7,55.47,65.1,101,93.8,107.8,2.6,86,68,58.5,0.41
TON,2.96,19.79,76.49,66.14,43.06,27.18,3.91,268854243,3.33,4154.85,172.22,4.08,3.75,75.16,69.35,72.18,11.8,13.7,12.1,15.1,0.52,99,99,38.57,1.15
TTO,4.01,36.12,40.87,29.19,10.53,15.13,1.8,18988955441,0.21,23447.77,976.54,3.32,7.95,73.26,66.11,69.6,19.5,21.9,19.6,24.1,0.42,90,92,52.2,17.03
TUN,5.97,5.04,43.76,33.77,64.61,18.6,2.13,40161154597,3,8494.59,241.36,3.1,4.74,76.6,72.7,74.6,15,17.5,16,19,1.04,98,97,36,2.58
TUR,2.64,34.29,50.95,40.31,50.69,17.75,2.1,5.65E+11,9.16,12671.11,668.37,4.99,5.68,77.77,70.82,74.21,13.6,15.8,14.2,17.4,1.25,97,97,30.3,4.11
TKM,4.26,19.15,50.04,43.86,69.5,21.8,2.41,13272745852,9.2,7343.65,105.37,1.5,0.33,69.31,60.93,65.02,47.6,56.4,48.3,64.2,1.26,96,99,43.48,11.28
UGA,2.96,135.96,105.36,100.34,70.38,44.64,6.16,13362034649,5.86,1129.8,44.01,2.12,9.55,58.2,56.44,57.3,51.2,78.3,71.2,85.1,3.36,80,73,57.3,0.12
UKR,5.86,27.72,42.21,19.76,71.23,10.8,1.45,90577255848,4.2,6028.87,234.35,4.42,13.75,75.5,65.3,70.28,10.2,11.8,10.3,13.2,-0.4,52,56,41.2,5.87
ARE,3.43,28.52,16.54,16.15,4.75,15.97,1.87,2.04E+11,-1.82,36480.42,1467.49,2.7,8.29,77.62,75.62,76.6,7.5,8.8,7.8,9.7,8.96,94,94,21.4,19.04
GBR,5.14,25.79,51.86,26.67,71.19,13,1.98,2.36E+12,1.66,32765.53,3494.73,7.99,3.1,82.4,78.5,80.4,4.4,5.2,4.7,5.7,0.74,94,89,30.4,7.68
USA,4.79,34.47,49.04,29.57,44.92,13,1.93,1.36E+13,2.51,43952.45,8232.88,8.49,1.21,81,76.2,78.54,6.3,7.4,6.7,8.1,0.83,95,92,19.6,17.43
URY,2.3,59.43,57.18,35.38,82.06,14.78,2.08,22990234866,8.95,12569.08,947.7,5.29,4.84,80.2,73.2,76.62,7.7,9,8.1,9.9,0.34,95,95,19.7,1.87
UZB,9.37,42.78,51.89,45.22,62.66,22.7,2.5,21491158366,8.5,2753.56,79.92,2.73,19.55,71.25,64.63,67.86,36.7,42.5,36.5,48.1,2.82,99,98,25.1,4.29
VUT,5.19,45.96,72.86,66.03,15.34,27.45,3.5,503575271,1.63,4004.83,149.22,4.68,2.61,72.86,68.92,70.84,16.3,19,17,21,2.34,68,52,40.24,0.55
VEN,3.55,85.89,54.08,45.41,24.09,20.69,2.47,1.75E+11,-1.49,10893.97,719.54,2.05,45.94,77.22,71.27,74.17,13.7,16,14,17.8,1.6,78,79,36.1,6.03
VNM,2.81,30.11,42.92,33.57,34.73,16.43,1.82,78282167938,6.42,3030.3,82.79,2.54,12.07,80.17,70.68,75.31,18.7,23.4,20.2,26.4,1.05,93,98,28.6,1.7
YEM,4.12,50.77,80.77,75.84,44.66,32.29,4.5,20710400137,7.7,2507.41,79.94,1.17,24.16,63.89,61.23,62.53,49.2,64.3,59.8,68.7,2.37,87,73,41.8,1.04
ZMB,1.32,131.13,98.28,93.02,31.93,43.22,5.81,9799629000,7.62,1370.47,73.84,3.63,11.69,55.76,53.35,54.53,62.9,100.4,94.2,106.5,3.01,83,96,51.2,0.19
ZWE,2.54,65.2,82.54,75.27,42.19,32.17,3.72,5120294858,9.62,2202.62,78.34,2.35,10.56,53.82,53.38,53.59,59.3,97.1,89.9,103.7,1.45,89,90,59.1,0.77
